wl,n,k
0.13051,1.1488,1.6661
0.13074,1.1588,1.6697
0.13097,1.1688,1.6732
0.13119,1.1789,1.6765
0.13142,1.189,1.6795
0.13166,1.1992,1.6824
0.13189,1.2095,1.685
0.13212,1.2197,1.6874
0.13235,1.23,1.6895
0.13259,1.2403,1.6915
0.13282,1.2506,1.6932
0.13306,1.2609,1.6946
0.13329,1.2711,1.6958
0.13353,1.2813,1.6968
0.13377,1.2914,1.6976
0.13401,1.3015,1.6981
0.13425,1.3115,1.6984
0.13449,1.3215,1.6984
0.13473,1.3313,1.6982
0.13497,1.341,1.6978
0.13522,1.3506,1.6971
0.13546,1.36,1.6963
0.13571,1.3693,1.6952
0.13595,1.3784,1.6939
0.1362,1.3874,1.6924
0.13645,1.3961,1.6908
0.13669,1.4047,1.689
0.13694,1.413,1.687
0.1372,1.4212,1.6848
0.13745,1.429,1.6825
0.1377,1.4367,1.6801
0.13795,1.4441,1.6776
0.13821,1.4512,1.675
0.13846,1.4581,1.6722
0.13872,1.4647,1.6695
0.13897,1.471,1.6666
0.13923,1.4771,1.6638
0.13949,1.4828,1.6609
0.13975,1.4883,1.658
0.14001,1.4935,1.6552
0.14027,1.4984,1.6524
0.14054,1.503,1.6497
0.1408,1.5073,1.647
0.14107,1.5114,1.6444
0.14133,1.5152,1.642
0.1416,1.5187,1.6397
0.14187,1.5219,1.6375
0.14214,1.5249,1.6355
0.14241,1.5277,1.6337
0.14268,1.5302,1.6322
0.14295,1.5325,1.6308
0.14322,1.5345,1.6297
0.1435,1.5364,1.6289
0.14377,1.5381,1.6284
0.14405,1.5397,1.6281
0.14432,1.5411,1.6282
0.1446,1.5424,1.6286
0.14488,1.5435,1.6293
0.14516,1.5446,1.6305
0.14544,1.5457,1.6319
0.14573,1.5467,1.6338
0.14601,1.5477,1.636
0.14629,1.5488,1.6387
0.14658,1.5499,1.6418
0.14687,1.551,1.6452
0.14716,1.5523,1.6491
0.14745,1.5538,1.6534
0.14774,1.5554,1.6582
0.14803,1.5573,1.6633
0.14832,1.5595,1.6689
0.14861,1.5619,1.6749
0.14891,1.5647,1.6813
0.14921,1.5679,1.688
0.1495,1.5716,1.6951
0.1498,1.5757,1.7025
0.1501,1.5804,1.7102
0.1504,1.5857,1.7182
0.1507,1.5915,1.7264
0.15101,1.5981,1.7347
0.15131,1.6053,1.7431
0.15162,1.6133,1.7516
0.15193,1.622,1.76
0.15223,1.6316,1.7682
0.15254,1.6419,1.7762
0.15286,1.653,1.7839
0.15317,1.6649,1.7911
0.15348,1.6775,1.7978
0.1538,1.6908,1.8038
0.15411,1.7047,1.8091
0.15443,1.7191,1.8135
0.15475,1.7339,1.8169
0.15507,1.749,1.8193
0.15539,1.7641,1.8207
0.15571,1.7793,1.821
0.15604,1.7942,1.8202
0.15636,1.8086,1.8183
0.15669,1.8226,1.8155
0.15702,1.8358,1.8118
0.15735,1.8482,1.8075
0.15768,1.8597,1.8025
0.15801,1.8702,1.7971
0.15834,1.8796,1.7915
0.15868,1.888,1.7859
0.15901,1.8953,1.7804
0.15935,1.9017,1.7751
0.15969,1.9072,1.7703
0.16003,1.912,1.7661
0.16037,1.916,1.7624
0.16072,1.9195,1.7595
0.16106,1.9226,1.7574
0.16141,1.9254,1.7561
0.16176,1.928,1.7556
0.16211,1.9305,1.7559
0.16246,1.9331,1.7571
0.16281,1.9358,1.759
0.16317,1.9388,1.7616
0.16352,1.942,1.765
0.16388,1.9457,1.769
0.16424,1.9498,1.7736
0.1646,1.9544,1.7788
0.16496,1.9596,1.7844
0.16532,1.9654,1.7904
0.16569,1.9718,1.7969
0.16606,1.9788,1.8036
0.16642,1.9865,1.8105
0.16679,1.995,1.8177
0.16717,2.0041,1.825
0.16754,2.0139,1.8323
0.16791,2.0244,1.8397
0.16829,2.0357,1.8471
0.16867,2.0476,1.8543
0.16905,2.0603,1.8615
0.16943,2.0737,1.8685
0.16982,2.0878,1.8752
0.1702,2.1026,1.8817
0.17059,2.118,1.8878
0.17098,2.1341,1.8936
0.17137,2.1508,1.899
0.17176,2.1681,1.9039
0.17215,2.1861,1.9084
0.17255,2.2046,1.9123
0.17295,2.2236,1.9156
0.17335,2.2431,1.9184
0.17375,2.2631,1.9205
0.17415,2.2836,1.9219
0.17456,2.3044,1.9227
0.17497,2.3257,1.9227
0.17538,2.3472,1.9219
0.17579,2.3691,1.9204
0.1762,2.3911,1.9181
0.17661,2.4134,1.9149
0.17703,2.4358,1.9109
0.17745,2.4583,1.9061
0.17787,2.4809,1.9004
0.17829,2.5034,1.8938
0.17872,2.5259,1.8863
0.17915,2.5483,1.878
0.17958,2.5705,1.8688
0.18001,2.5925,1.8588
0.18044,2.6142,1.8479
0.18087,2.6357,1.8362
0.18131,2.6567,1.8237
0.18175,2.6774,1.8104
0.18219,2.6976,1.7964
0.18264,2.7173,1.7816
0.18308,2.7365,1.7661
0.18353,2.7552,1.75
0.18398,2.7732,1.7332
0.18443,2.7905,1.7159
0.18489,2.8072,1.698
0.18534,2.8233,1.6797
0.1858,2.8386,1.6608
0.18627,2.8532,1.6416
0.18673,2.8671,1.622
0.1872,2.8802,1.6021
0.18766,2.8925,1.5819
0.18813,2.9041,1.5615
0.18861,2.915,1.5409
0.18908,2.9251,1.5202
0.18956,2.9344,1.4994
0.19004,2.943,1.4785
0.19052,2.9509,1.4575
0.19101,2.9581,1.4366
0.1915,2.9646,1.4158
0.19199,2.9704,1.395
0.19248,2.9755,1.3743
0.19298,2.98,1.3538
0.19347,2.9838,1.3335
0.19397,2.9871,1.3133
0.19448,2.9898,1.2933
0.19498,2.9919,1.2736
0.19549,2.9935,1.2541
0.196,2.9946,1.2349
0.19652,2.9952,1.216
0.19703,2.9954,1.1974
0.19755,2.9951,1.179
0.19807,2.9944,1.161
0.1986,2.9933,1.1433
0.19912,2.9919,1.1259
0.19966,2.99,1.1089
0.20019,2.9879,1.0921
0.20072,2.9855,1.0758
0.20126,2.9827,1.0597
0.2018,2.9798,1.044
0.20235,2.9765,1.0287
0.2029,2.973,1.0136
0.20345,2.9694,0.99896
0.204,2.9655,0.98461
0.20456,2.9614,0.97058
0.20512,2.9572,0.95689
0.20568,2.9528,0.94351
0.20624,2.9483,0.93045
0.20681,2.9437,0.91771
0.20738,2.9389,0.90528
0.20796,2.934,0.89315
0.20854,2.9291,0.88131
0.20912,2.9241,0.86977
0.2097,2.919,0.85852
0.21029,2.9138,0.84754
0.21088,2.9086,0.83685
0.21148,2.9033,0.82642
0.21208,2.898,0.81625
0.21268,2.8927,0.80634
0.21328,2.8873,0.79668
0.21389,2.8819,0.78727
0.2145,2.8766,0.77809
0.21512,2.8712,0.76915
0.21574,2.8658,0.76043
0.21636,2.8604,0.75194
0.21699,2.855,0.74366
0.21762,2.8496,0.73559
0.21825,2.8443,0.72773
0.21889,2.839,0.72006
0.21953,2.8337,0.71259
0.22017,2.8284,0.70531
0.22082,2.8232,0.69821
0.22147,2.8179,0.69129
0.22213,2.8128,0.68454
0.22279,2.8076,0.67796
0.22345,2.8025,0.67154
0.22412,2.7975,0.66528
0.22479,2.7925,0.65918
0.22547,2.7875,0.65323
0.22615,2.7826,0.64742
0.22683,2.7777,0.64176
0.22752,2.7729,0.63623
0.22821,2.7682,0.63083
0.22891,2.7635,0.62557
0.22961,2.7588,0.62043
0.23031,2.7542,0.61542
0.23102,2.7497,0.61052
0.23174,2.7452,0.60574
0.23246,2.7408,0.60106
0.23318,2.7364,0.5965
0.23391,2.7321,0.59205
0.23464,2.7278,0.58769
0.23537,2.7236,0.58343
0.23612,2.7195,0.57927
0.23686,2.7154,0.57521
0.23761,2.7114,0.57123
0.23837,2.7074,0.56734
0.23913,2.7035,0.56353
0.23989,2.6997,0.55981
0.24066,2.6959,0.55616
0.24144,2.6922,0.5526
0.24222,2.6886,0.5491
0.243,2.685,0.54568
0.24379,2.6814,0.54233
0.24459,2.678,0.53904
0.24539,2.6746,0.53582
0.24619,2.6712,0.53267
0.247,2.6679,0.52957
0.24782,2.6647,0.52653
0.24864,2.6616,0.52355
0.24947,2.6585,0.52062
0.2503,2.6554,0.51775
0.25114,2.6524,0.51492
0.25198,2.6495,0.51215
0.25283,2.6466,0.50942
0.25369,2.6438,0.50673
0.25455,2.6411,0.50409
0.25542,2.6384,0.50149
0.25629,2.6358,0.49893
0.25717,2.6332,0.49641
0.25805,2.6307,0.49392
0.25894,2.6283,0.49147
0.25984,2.6259,0.48905
0.26074,2.6236,0.48666
0.26165,2.6213,0.4843
0.26257,2.6191,0.48197
0.26349,2.6169,0.47967
0.26442,2.6148,0.47739
0.26536,2.6128,0.47513
0.2663,2.6108,0.47289
0.26725,2.6089,0.47068
0.2682,2.607,0.46848
0.26917,2.6052,0.4663
0.27014,2.6034,0.46413
0.27111,2.6017,0.46198
0.2721,2.6,0.45984
0.27309,2.5984,0.45771
0.27409,2.5969,0.4556
0.27509,2.5954,0.45348
0.2761,2.594,0.45138
0.27712,2.5926,0.44928
0.27815,2.5913,0.44718
0.27919,2.59,0.44509
0.28023,2.5888,0.44299
0.28128,2.5876,0.4409
0.28234,2.5865,0.4388
0.28341,2.5854,0.43669
0.28448,2.5844,0.43458
0.28557,2.5834,0.43246
0.28666,2.5825,0.43033
0.28776,2.5816,0.42819
0.28887,2.5808,0.42604
0.28998,2.5801,0.42387
0.29111,2.5793,0.42169
0.29224,2.5787,0.41948
0.29339,2.578,0.41726
0.29454,2.5774,0.41502
0.2957,2.5769,0.41275
0.29687,2.5764,0.41045
0.29805,2.576,0.40813
0.29924,2.5755,0.40577
0.30044,2.5752,0.40338
0.30165,2.5749,0.40096
0.30287,2.5746,0.3985
0.30409,2.5743,0.39601
0.30533,2.5741,0.39347
0.30658,2.5739,0.39088
0.30784,2.5738,0.38825
0.30911,2.5737,0.38557
0.31039,2.5736,0.38284
0.31168,2.5735,0.38006
0.31298,2.5735,0.37721
0.31429,2.5735,0.37431
0.31561,2.5735,0.37134
0.31695,2.5735,0.36831
0.31829,2.5735,0.36521
0.31965,2.5735,0.36203
0.32102,2.5736,0.35878
0.3224,2.5736,0.35545
0.32379,2.5736,0.35204
0.32519,2.5736,0.34854
0.32661,2.5736,0.34495
0.32804,2.5736,0.34128
0.32948,2.5734,0.3375
0.33093,2.5733,0.33364
0.3324,2.573,0.32968
0.33388,2.5727,0.32562
0.33537,2.5723,0.32146
0.33688,2.5717,0.31721
0.3384,2.571,0.31288
0.33993,2.5701,0.30847
0.34148,2.5689,0.304
0.34304,2.5675,0.29949
0.34462,2.5657,0.29498
0.34621,2.5636,0.29052
0.34782,2.561,0.28618
0.34944,2.5578,0.28208
0.35107,2.554,0.27838
0.35273,2.5494,0.27533
0.35439,2.544,0.2733
0.35608,2.5377,0.27287
0.35777,2.5307,0.27487
0.35949,2.5236,0.28051
0.36122,2.5179,0.29135
0.36297,2.5172,0.30862
0.36473,2.5273,0.33112
0.36652,2.5547,0.35132
0.36832,2.5975,0.35496
0.37014,2.6402,0.3328
0.37197,2.6656,0.29297
0.37383,2.671,0.25123
0.3757,2.6634,0.21649
0.37759,2.6499,0.19015
0.3795,2.6347,0.1707
0.38143,2.6195,0.15626
0.38338,2.6051,0.14536
0.38535,2.5918,0.13694
0.38734,2.5795,0.13029
0.38935,2.5682,0.12491
0.39138,2.5578,0.12049
0.39344,2.5481,0.11677
0.39551,2.5391,0.1136
0.39761,2.5307,0.11085
0.39973,2.5228,0.10844
0.40187,2.5153,0.10629
0.40404,2.5082,0.10436
0.40623,2.5015,0.10262
0.40844,2.4951,0.10102
0.41067,2.489,0.099546
0.41294,2.4831,0.098179
0.41522,2.4775,0.096903
0.41753,2.4721,0.095705
0.41987,2.4668,0.094575
0.42224,2.4618,0.093505
0.42463,2.4569,0.092486
0.42704,2.4522,0.091515
0.42949,2.4476,0.090584
0.43196,2.4431,0.08969
0.43447,2.4388,0.08883
0.437,2.4346,0.088
0.43956,2.4304,0.087197
0.44215,2.4264,0.08642
0.44477,2.4225,0.085665
0.44743,2.4187,0.084932
0.45011,2.4149,0.084218
0.45283,2.4113,0.083522
0.45558,2.4077,0.082843
0.45837,2.4041,0.08218
0.46119,2.4007,0.081531
0.46404,2.3973,0.080897
0.46693,2.394,0.080275
0.46985,2.3907,0.079666
0.47282,2.3875,0.079069
0.47582,2.3844,0.078482
0.47886,2.3813,0.077906
0.48193,2.3782,0.07734
0.48505,2.3752,0.076784
0.48821,2.3723,0.076236
0.49141,2.3694,0.075698
0.49465,2.3665,0.075167
0.49793,2.3637,0.074645
0.50126,2.3609,0.07413
0.50463,2.3582,0.073623
0.50805,2.3555,0.073123
0.51152,2.3528,0.07263
0.51503,2.3502,0.072143
0.51859,2.3476,0.071663
0.5222,2.345,0.071189
0.52587,2.3425,0.070722
0.52958,2.34,0.07026
0.53335,2.3376,0.069804
0.53717,2.3351,0.069353
0.54104,2.3327,0.068908
0.54497,2.3304,0.068468
0.54896,2.328,0.068034
0.55301,2.3257,0.067604
0.55712,2.3234,0.067179
0.56129,2.3211,0.066759
0.56552,2.3189,0.066343
0.56982,2.3167,0.065932
0.57418,2.3145,0.065526
0.57861,2.3123,0.065124
0.58311,2.3102,0.064726
0.58768,2.3081,0.064332
0.59232,2.306,0.063942
0.59704,2.3039,0.063557
0.60183,2.3019,0.063175
0.6067,2.2998,0.062797
0.61165,2.2978,0.062423
0.61668,2.2958,0.062052
0.62179,2.2939,0.061686
0.62699,2.2919,0.061322
0.63228,2.29,0.060963
0.63765,2.2881,0.060606
0.64312,2.2862,0.060253
0.64868,2.2843,0.059904
0.65434,2.2825,0.059557
0.6601,2.2806,0.059214
0.66596,2.2788,0.058874
0.67193,2.277,0.058537
0.67801,2.2752,0.058203
0.68419,2.2735,0.057873
0.69049,2.2717,0.057545
0.69691,2.27,0.05722
0.70345,2.2682,0.056898
0.71011,2.2665,0.056578
0.7169,2.2649,0.056262
0.72382,2.2632,0.055948
0.73087,2.2615,0.055637
0.73806,2.2599,0.055329
0.7454,2.2582,0.055023
0.75288,2.2566,0.05472
0.76052,2.255,0.05442
0.76831,2.2534,0.054121
0.77626,2.2519,0.053826
0.78438,2.2503,0.053533
0.79267,2.2488,0.053242
0.80114,2.2472,0.052954
0.80979,2.2457,0.052668
0.81863,2.2442,0.052384
0.82767,2.2427,0.052103
0.8369,2.2412,0.051824
0.84635,2.2397,0.051547
0.85601,2.2383,0.051273
0.86589,2.2368,0.051
0.87601,2.2354,0.05073
0.88636,2.234,0.050462
0.89696,2.2326,0.050196
0.90782,2.2312,0.049932
0.91895,2.2298,0.04967
0.93035,2.2284,0.04941
0.94203,2.227,0.049152
0.95402,2.2257,0.048896
0.96631,2.2244,0.048642
0.97893,2.223,0.04839
0.99187,2.2217,0.04814
